AphiaID,rank,scientificname
107616,Species,Palaemon serratus
103166,Species,Stenothoe marina
333034,Species,Aricidea (Acmira) catherinae
235864,Species,Haliclona (Rhizoniera) viscosa
155194,Species,Malmgrenia lunulata
488966,Species,Nototropis swammerdamei
169466,Species,Myxilla (Myxilla) incrustans
134285,Species,Suberites ficus
107254,Species,Nephrops norvegicus
130452,Species,Aponuphis bilineata
123106,Order,Spatangoida
181228,Species,Doris pseudoargus
141909,Species,Clausinella fasciata
162687,Species,Antiopella cristata
103509,Genus,Molgula
131193,Species,Streblospio shrubsolii
138751,Species,Pododesmus patelliformis
141444,Species,Sepia officinalis
141134,Species,Retusa obtusa
264171,Species,Jaera (Jaera) albifrons
102798,Species,Cheirocratus sundevallii
981,Family,Ampharetidae
132026,Genus,Cliona
148592,Species,Monocorophium insidiosum
250081,Species,Botrylloides leachii
117674,Species,Kirchenpaueria pinnata
152276,Species,Malmgrenia arenicolae
107392,Species,Liocarcinus navigator
1047602,Species,Edmundsella pedata
129455,Genus,Phyllodoce
124850,Species,Ophiocten affinis
130417,Species,Platynereis dumerilii
140834,Species,Polycera faeroensis
106057,Family,Balanidae
525497,Species,Aricidea (Acmira) cerrutii
134275,Species,Suberites carnosus
130982,Species,Sclerocheilus minutus
2039,Family,Naididae
134175,Species,Stelligera stuposa
156905,Genus,Procladius
445590,Species,Adamsia palliata
130921,Species,Jasmineira elegans
131458,Species,Syllis variegata
111125,Species,Porella concinna
117233,Genus,Sertularella
117888,Species,Dynamena pumila
101160,Species,Priapulus caudatus
102932,Species,Westwoodilla caecula
130974,Species,Asclerocheilus intermedius
107301,Species,Ebalia tuberosa
130603,Species,Pholoe minuta
107647,Species,Pandalina brevirostris
102918,Species,Pontocrates arenarius
133621,Species,Hymedesmia (Hymedesmia) paupertas
141365,Species,Rissoa parva
140461,Species,Modiolula phaseolina
131715,Genus,Leucosolenia
150534,Species,Antalis entalis
181523,Species,Marenzelleria neglecta
103066,Species,Bathyporeia pelagica
129439,Genus,Pholoe
1789,Phylum,Phoronida
140870,Species,Gari fervensis
103233,Species,Urothoe marina
948,Family,Syllidae
134312,Species,Tethya citrina
117034,Genus,Obelia
140263,Species,Littorina obtusata
103717,Species,Ascidia virginea
149668,Order,Mysida
102292,Species,Gammarus salinus
111659,Species,Amathia lendigera
141911,Species,Dosinia exoleta
130185,Species,Nereimyra punctata
862795,Species,Schizomavella (Schizomavella) linearis
118474,Species,Cyathura carinata
131328,Species,Odontosyllis gibba
107273,Species,Atelecyclus rotundatus
102972,Species,Harpinia pectinata
131121,Species,Dipolydora quadrilobata
175043,Species,Phascolion (Phascolion) strombus
876825,Species,Tritia incrassata
131051,Species,Serpula vermicularis
532031,Species,Gracilechinus acutus
130624,Species,Eulalia bilineata
130407,Species,Nereis zonata
141741,Species,Trivia arctica
921,Family,Capitellidae
124598,Species,Aslia lefevrei
141744,Species,Trivia monacha
506128,Species,Musculus subpictus
571832,Species,Harmothoe glabra
103582,Species,Diplosoma spongiforme
1820,Class,Enteropneusta
130762,Species,Harmothoe extenuata
123117,Order,Ophiurida
111061,Species,Reptadeonella violacea
152304,Species,Malmgrenia ljungmani
141138,Species,Retusa truncatula
107400,Species,Portumnus latipes
1417307,Species,Papillicardium minimum
157566,Species,Scolelepis (Scolelepis) squamata
931,Family,Phyllodocidae
107154,Species,Galathea squamifera
124373,Species,Brissopsis lyrifera
131191,Species,Streblospio benedicti
106673,Infraorder,Brachyura
129906,Species,Peresiella clymenoides
152774,Species,Lepidochitona cinerea
140830,Species,Limacia clavigera
1066,Subphylum,Crustacea
130890,Species,Chone filicaudata
55,Class,Polyplacophora
743898,Species,Baltidrilus costatus
103585,Species,Lissoclinum perforatum
111281,Species,Omalosecosa ramulosa
136050,Species,Golfingia (Golfingia) vulgaris
954693,Species,Parathyasira equalis
140728,Species,Mysia undata
130198,Species,Syllidia armata
102380,Species,Microprotopus maculatus
129777,Species,Ampharete falcata
130512,Species,Travisia forbesii
110483,Species,Diastylis lucifera
734532,Species,Aricidea (Strelzovia) suecica
138760,Species,Aporrhais pespelecani
467577,Species,Einhornia crustulenta
146932,Species,Paraonis fulgens
119039,Species,Idotea balthica
140588,Species,Nucula hanleyi
147021,Species,Moerella donacina
140733,Species,Ensis ensis
110481,Species,Diastylis laevis
118437,Genus,Gnathia
118454,Genus,Idotea
129341,Genus,Magelona
110866,Genus,Scrupocellaria
138758,Species,Aplysia punctata
140838,Species,Polycera quadrilineata
111082,Species,Pentapora fascialis
2038,Family,Enchytraeidae
138992,Species,Acanthocardia echinata
103921,Species,Stolonica socialis
132181,Species,Grantia compressa
129430,Genus,Aricidea
125195,Species,Amphiura (Ophiopeltis) securigera
130696,Species,Glyphohesione klatti
103570,Species,Didemnum maculosum
137570,Species,Tubificoides amplivasatus
124653,Species,Pawsonia saxicola
138262,Genus,Nucula
131038,Species,Salmacina dysteri
124455,Species,Labidoplax buskii
101361,Family,Caprellidae
11676,Superclass,Pisces
131168,Species,Pseudopolydora paucibranchiata
129642,Genus,Spirorbis
130145,Species,Goniadella gracilis
130494,Species,Ophelia limacina
138339,Genus,Philine
118467,Species,Anthura gracilis
236719,Species,Mimachlamys varia
103073,Species,Bathyporeia sarsi
876640,Species,Ensis leei
103909,Species,Polycarpa pomaria
101055,Species,Parazoanthus axinellae
125125,Species,Ophiopholis aculeata
140481,Species,Mytilus galloprovincialis
106834,Genus,Galathea
131388,Species,Sphaerosyllis hystrix
100730,Genus,Edwardsia
110524,Species,Eudorella emarginata
132159,Species,Alcyonium glomeratum
138312,Genus,Patella
130932,Species,Myxicola infundibulum
124670,Species,Thyone fusus
170654,Species,Polymastia penicillus
1424275,Species,Stelligera montagui
118732,Species,Janira maculosa
140600,Species,Eledone cirrhosa
129347,Genus,Euclymene
110398,Genus,Diastylis
141651,Species,Thracia villosiuscula
119042,Species,Idotea chelipes
882,Phylum,Annelida
141320,Species,Onoba semicostata
